Age,Sex,Job,job_desc,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,default_flag,age_band,amount_per_month,checking_missing,amount_vs_purpose_avg,amount_per_age,long_term_loan,high_amount,thin_file
28,female,2,skilled,own,moderate,NA,2073,12,radio/TV,0,under_30,172.8,1,-415.0,74.0,0,0,0
28,female,2,skilled,own,little,NA,1382,6,radio/TV,0,under_30,230.3,1,-1106.0,49.4,0,0,0
28,male,2,skilled,own,little,NA,776,12,radio/TV,0,under_30,64.7,1,-1712.0,27.7,0,0,0
28,male,2,skilled,own,little,NA,1413,24,radio/TV,0,under_30,58.9,1,-1075.0,50.5,0,0,0
28,female,2,skilled,own,quite rich,NA,1376,24,radio/TV,0,under_30,57.3,1,-1112.0,49.1,0,0,0
28,male,2,skilled,own,little,NA,2284,24,radio/TV,0,under_30,95.2,1,-204.0,81.6,0,0,0
28,male,2,skilled,own,little,NA,3595,36,radio/TV,0,under_30,99.9,1,1107.0,128.4,1,0,0
29,female,2,skilled,own,little,NA,2171,12,radio/TV,0,under_30,180.9,1,-317.0,74.9,0,0,0
29,male,2,skilled,rent,little,NA,2108,6,radio/TV,0,under_30,351.3,1,-380.0,72.7,0,0,0
29,male,3,highly_skilled,rent,moderate,NA,1901,24,radio/TV,0,under_30,79.2,1,-587.0,65.6,0,0,0
29,male,2,skilled,own,little,NA,2743,28,radio/TV,0,under_30,98.0,1,255.0,94.6,1,0,0
29,female,2,skilled,own,little,NA,518,6,radio/TV,0,under_30,86.3,1,-1970.0,17.9,0,0,0
29,male,2,skilled,own,NA,NA,1169,18,radio/TV,0,under_30,64.9,1,-1319.0,40.3,0,0,1
29,male,2,skilled,rent,NA,NA,7166,42,radio/TV,0,under_30,170.6,1,4678.0,247.1,1,1,1
30,male,3,highly_skilled,own,quite rich,NA,2333,30,radio/TV,0,30_39,77.8,1,-155.0,77.8,1,0,0
30,male,2,skilled,own,little,NA,707,12,radio/TV,0,30_39,58.9,1,-1781.0,23.6,0,0,0
30,male,2,skilled,rent,little,NA,1740,6,radio/TV,0,30_39,290.0,1,-748.0,58.0,0,0,0
31,male,2,skilled,own,quite rich,NA,3430,24,radio/TV,0,30_39,142.9,1,942.0,110.6,0,0,0
31,female,2,skilled,own,little,NA,9566,36,radio/TV,0,30_39,265.7,1,7078.0,308.6,1,1,0
31,male,3,highly_skilled,rent,little,NA,1963,12,radio/TV,0,30_39,163.6,1,-525.0,63.3,0,0,0
31,male,2,skilled,own,little,NA,1360,15,radio/TV,0,30_39,90.7,1,-1128.0,43.9,0,0,0
31,male,2,skilled,own,moderate,NA,3621,24,radio/TV,1,30_39,150.9,1,1133.0,116.8,0,0,0
32,male,2,skilled,own,little,NA,2697,9,radio/TV,0,30_39,299.7,1,209.0,84.3,0,0,0
32,male,2,skilled,own,little,NA,4594,18,radio/TV,0,30_39,255.2,1,2106.0,143.6,0,1,0
32,male,2,skilled,own,NA,NA,7238,48,radio/TV,0,30_39,150.8,1,4750.0,226.2,1,1,1
32,male,2,skilled,own,little,NA,1552,24,radio/TV,0,30_39,64.7,1,-936.0,48.5,0,0,0
32,male,3,highly_skilled,own,quite rich,NA,629,18,radio/TV,0,30_39,34.9,1,-1859.0,19.7,0,0,0
32,male,3,highly_skilled,free,little,NA,1505,18,radio/TV,0,30_39,83.6,1,-983.0,47.0,0,0,0
33,female,1,unskilled_resident,own,NA,NA,797,12,radio/TV,1,30_39,66.4,1,-1691.0,24.2,0,0,1
33,male,2,skilled,own,NA,NA,3074,9,radio/TV,0,30_39,341.6,1,586.0,93.2,0,0,1
33,male,2,skilled,own,little,NA,6070,18,radio/TV,0,30_39,337.2,1,3582.0,183.9,0,1,0
33,male,2,skilled,own,little,NA,2051,18,radio/TV,0,30_39,113.9,1,-437.0,62.2,0,0,0
33,male,2,skilled,own,little,NA,1851,24,radio/TV,0,30_39,77.1,1,-637.0,56.1,0,0,0
33,male,2,skilled,own,little,NA,1478,15,radio/TV,0,30_39,98.5,1,-1010.0,44.8,0,0,0
33,female,2,skilled,own,little,NA,2831,30,radio/TV,0,30_39,94.4,1,343.0,85.8,1,0,0
34,male,1,unskilled_resident,own,NA,NA,1898,6,radio/TV,0,30_39,316.3,1,-590.0,55.8,0,0,1
34,male,2,skilled,own,little,NA,2320,18,radio/TV,0,30_39,128.9,1,-168.0,68.2,0,0,0
34,male,2,skilled,own,rich,NA,2578,24,radio/TV,0,30_39,107.4,1,90.0,75.8,0,0,0
34,female,2,skilled,own,little,NA,1493,12,radio/TV,0,30_39,124.4,1,-995.0,43.9,0,0,0
34,female,2,skilled,own,little,NA,4454,36,radio/TV,0,30_39,123.7,1,1966.0,131.0,1,1,0
34,male,1,unskilled_resident,own,moderate,NA,1569,15,radio/TV,0,30_39,104.6,1,-919.0,46.1,0,0,0
35,male,2,skilled,own,moderate,NA,2141,12,radio/TV,0,30_39,178.4,1,-347.0,61.2,0,0,0
35,female,2,skilled,own,little,NA,1291,12,radio/TV,0,30_39,107.6,1,-1197.0,36.9,0,0,0
35,male,1,unskilled_resident,own,little,NA,2684,24,radio/TV,0,30_39,111.8,1,196.0,76.7,0,0,0
35,male,2,skilled,own,NA,NA,1979,15,radio/TV,0,30_39,131.9,1,-509.0,56.5,0,0,1
35,male,2,skilled,own,moderate,NA,2753,9,radio/TV,0,30_39,305.9,1,265.0,78.7,0,0,0
35,male,2,skilled,own,NA,NA,976,12,radio/TV,0,30_39,81.3,1,-1512.0,27.9,0,0,1
35,male,2,skilled,free,little,NA,1471,15,radio/TV,0,30_39,98.1,1,-1017.0,42.0,0,0,0
35,male,2,skilled,own,quite rich,NA,2397,24,radio/TV,1,30_39,99.9,1,-91.0,68.5,0,0,0
36,male,2,skilled,own,moderate,NA,2872,24,radio/TV,0,30_39,119.7,1,384.0,79.8,0,0,0
36,male,2,skilled,free,NA,NA,846,7,radio/TV,0,30_39,120.9,1,-1642.0,23.5,0,0,1
36,male,2,skilled,free,NA,NA,700,6,radio/TV,0,30_39,116.7,1,-1788.0,19.4,0,0,1
36,male,2,skilled,own,NA,NA,6742,30,radio/TV,0,30_39,224.7,1,4254.0,187.3,1,1,1
36,male,3,highly_skilled,own,little,NA,1278,24,radio/TV,0,30_39,53.3,1,-1210.0,35.5,0,0,0
37,male,2,skilled,own,NA,NA,10222,48,radio/TV,0,30_39,213.0,1,7734.0,276.3,1,1,1
37,male,2,skilled,free,NA,NA,2279,12,radio/TV,0,30_39,189.9,1,-209.0,61.6,0,0,1
37,male,3,highly_skilled,own,quite rich,NA,12749,48,radio/TV,0,30_39,265.6,1,10261.0,344.6,1,1,0
38,female,2,skilled,own,NA,NA,1240,12,radio/TV,0,30_39,103.3,1,-1248.0,32.6,0,0,1
38,male,2,skilled,own,little,NA,1924,10,radio/TV,0,30_39,192.4,1,-564.0,50.6,0,0,0
38,female,2,skilled,own,little,NA,1533,24,radio/TV,0,30_39,63.9,1,-955.0,40.3,0,0,0
38,male,2,skilled,own,little,NA,5954,30,radio/TV,0,30_39,198.5,1,3466.0,156.7,1,1,0
38,male,2,skilled,own,little,NA,804,12,radio/TV,0,30_39,67.0,1,-1684.0,21.2,0,0,0
39,male,1,unskilled_resident,own,little,NA,426,6,radio/TV,0,30_39,71.0,1,-2062.0,10.9,0,0,0
39,male,2,skilled,own,quite rich,NA,2299,36,radio/TV,0,30_39,63.9,1,-189.0,58.9,1,0,0
39,male,2,skilled,own,little,NA,1473,18,radio/TV,0,30_39,81.8,1,-1015.0,37.8,0,0,0
40,male,2,skilled,own,NA,NA,3077,30,radio/TV,0,40_49,102.6,1,589.0,76.9,1,0,1
40,male,2,skilled,own,quite rich,NA,2675,22,radio/TV,0,40_49,121.6,1,187.0,66.9,0,0,0
40,male,2,skilled,rent,NA,NA,1386,15,radio/TV,0,40_49,92.4,1,-1102.0,34.6,0,0,1
41,male,2,skilled,own,NA,NA,3160,21,radio/TV,0,40_49,150.5,1,672.0,77.1,0,0,1
42,male,2,skilled,free,moderate,NA,1346,6,radio/TV,0,40_49,224.3,1,-1142.0,32.0,0,0,0
42,male,1,unskilled_resident,own,little,NA,1544,4,radio/TV,0,40_49,386.0,1,-944.0,36.8,0,0,0
42,male,1,unskilled_resident,own,little,NA,1503,4,radio/TV,0,40_49,375.8,1,-985.0,35.8,0,0,0
42,male,2,skilled,own,quite rich,NA,522,12,radio/TV,0,40_49,43.5,1,-1966.0,12.4,0,0,0
43,female,1,unskilled_resident,own,little,NA,1459,15,radio/TV,0,40_49,97.3,1,-1029.0,33.9,0,0,0
43,female,1,unskilled_resident,own,rich,NA,1516,24,radio/TV,0,40_49,63.2,1,-972.0,35.3,0,0,0
44,female,2,skilled,own,NA,NA,5943,24,radio/TV,1,40_49,247.6,1,3455.0,135.1,0,1,1
45,female,1,unskilled_resident,own,NA,NA,3835,36,radio/TV,0,40_49,106.5,1,1347.0,85.2,1,0,1
45,male,1,unskilled_resident,own,quite rich,NA,1750,6,radio/TV,0,40_49,291.7,1,-738.0,38.9,0,0,0
46,male,1,unskilled_resident,rent,NA,NA,730,7,radio/TV,0,40_49,104.3,1,-1758.0,15.9,0,0,1
46,male,2,skilled,own,rich,NA,1582,18,radio/TV,0,40_49,87.9,1,-906.0,34.4,0,0,0
46,male,2,skilled,own,rich,NA,1149,18,radio/TV,0,40_49,63.8,1,-1339.0,25.0,0,0,0
46,male,2,skilled,own,little,NA,2611,24,radio/TV,0,40_49,108.8,1,123.0,56.8,0,0,0
46,male,2,skilled,own,little,NA,1829,15,radio/TV,0,40_49,121.9,1,-659.0,39.8,0,0,0
47,male,2,skilled,own,quite rich,NA,1213,15,radio/TV,0,40_49,80.9,1,-1275.0,25.8,0,0,0
47,male,2,skilled,own,NA,NA,3578,48,radio/TV,0,40_49,74.5,1,1090.0,76.1,1,0,1
47,male,2,skilled,free,little,NA,5103,24,radio/TV,0,40_49,212.6,1,2615.0,108.6,0,1,0
47,male,1,unskilled_resident,own,quite rich,NA,1316,15,radio/TV,0,40_49,87.7,1,-1172.0,28.0,0,0,0
49,male,2,skilled,own,NA,NA,2331,12,radio/TV,0,40_49,194.3,1,-157.0,47.6,0,0,1
51,male,2,skilled,own,NA,NA,3342,36,radio/TV,0,50_plus,92.8,1,854.0,65.5,1,0,1
51,male,2,skilled,own,little,NA,1595,6,radio/TV,0,50_plus,265.8,1,-893.0,31.3,0,0,0
52,male,2,skilled,own,little,NA,717,12,radio/TV,0,50_plus,59.8,1,-1771.0,13.8,0,0,0
52,male,2,skilled,own,little,NA,3077,12,radio/TV,0,50_plus,256.4,1,589.0,59.2,0,0,0
52,male,2,skilled,own,moderate,NA,2223,24,radio/TV,0,50_plus,92.6,1,-265.0,42.8,0,0,0
53,male,2,skilled,own,NA,NA,2424,24,radio/TV,0,50_plus,101.0,1,-64.0,45.7,0,0,1
54,female,3,highly_skilled,rent,little,NA,3568,15,radio/TV,0,50_plus,237.9,1,1080.0,66.1,0,0,0
56,male,2,skilled,own,little,NA,618,12,radio/TV,0,50_plus,51.5,1,-1870.0,11.0,0,0,0
57,female,1,unskilled_resident,own,moderate,NA,1154,11,radio/TV,0,50_plus,104.9,1,-1334.0,20.2,0,0,0
58,male,2,skilled,own,NA,NA,1867,30,radio/TV,0,50_plus,62.2,1,-621.0,32.2,1,0,1
61,male,1,unskilled_resident,own,rich,NA,3059,12,radio/TV,0,50_plus,254.9,1,571.0,50.1,0,0,0
63,male,1,unskilled_resident,own,little,NA,1655,12,radio/TV,0,50_plus,137.9,1,-833.0,26.3,0,0,0
64,female,2,skilled,own,moderate,NA,1409,13,radio/TV,0,50_plus,108.4,1,-1079.0,22.0,0,0,0
65,male,2,skilled,own,NA,NA,930,12,radio/TV,0,50_plus,77.5,1,-1558.0,14.3,0,0,1
65,female,0,unskilled_non_resident,own,little,NA,1098,18,radio/TV,0,50_plus,61.0,1,-1390.0,16.9,0,0,0
20,male,2,skilled,own,moderate,little,674,12,radio/TV,1,under_30,56.2,0,-1814.0,33.7,0,0,0
20,male,3,highly_skilled,rent,little,little,1107,12,radio/TV,0,under_30,92.3,0,-1381.0,55.4,0,0,0
21,male,1,unskilled_resident,rent,little,little,1987,24,radio/TV,1,under_30,82.8,0,-501.0,94.6,0,0,0
22,female,2,skilled,rent,little,little,1366,9,radio/TV,1,under_30,151.8,0,-1122.0,62.1,0,0,0
23,female,2,skilled,own,little,little,1498,12,radio/TV,0,under_30,124.8,0,-990.0,65.1,0,0,0
23,male,1,unskilled_resident,rent,NA,little,1936,18,radio/TV,0,under_30,107.6,0,-552.0,84.2,0,0,0
23,male,2,skilled,free,little,little,1845,45,radio/TV,1,under_30,41.0,0,-643.0,80.2,1,0,0
24,female,2,skilled,own,little,little,3190,18,radio/TV,1,under_30,177.2,0,702.0,132.9,0,0,0
24,female,1,unskilled_resident,own,little,little,626,12,radio/TV,1,under_30,52.2,0,-1862.0,26.1,0,0,0
24,male,1,unskilled_resident,rent,little,little,1546,24,radio/TV,1,under_30,64.4,0,-942.0,64.4,0,0,0
24,male,1,unskilled_resident,own,little,little,2214,12,radio/TV,0,under_30,184.5,0,-274.0,92.3,0,0,0
25,female,2,skilled,own,little,little,1835,21,radio/TV,1,under_30,87.4,0,-653.0,73.4,0,0,0
25,male,1,unskilled_resident,own,little,little,1138,9,radio/TV,0,under_30,126.4,0,-1350.0,45.5,0,0,0
25,female,2,skilled,rent,little,little,1882,18,radio/TV,1,under_30,104.6,0,-606.0,75.3,0,0,0
25,female,2,skilled,own,little,little,3509,18,radio/TV,0,under_30,194.9,0,1021.0,140.4,0,0,0
26,male,2,skilled,own,little,little,4370,42,radio/TV,1,under_30,104.0,0,1882.0,168.1,1,1,0
26,male,2,skilled,own,little,little,1345,18,radio/TV,1,under_30,74.7,0,-1143.0,51.7,0,0,0
27,male,3,highly_skilled,own,little,little,3416,27,radio/TV,0,under_30,126.5,0,928.0,126.5,1,0,0
27,male,2,skilled,own,little,little,1053,15,radio/TV,0,under_30,70.2,0,-1435.0,39.0,0,0,0
27,female,2,skilled,own,little,little,2389,18,radio/TV,0,under_30,132.7,0,-99.0,88.5,0,0,0
28,male,2,skilled,rent,little,little,6199,12,radio/TV,1,under_30,516.6,0,3711.0,221.4,0,1,0
28,female,2,skilled,own,little,little,3660,24,radio/TV,0,under_30,152.5,0,1172.0,130.7,0,0,0
28,female,3,highly_skilled,rent,little,little,2606,21,radio/TV,0,under_30,124.1,0,118.0,93.1,0,0,0
29,male,2,skilled,free,little,little,2149,12,radio/TV,1,under_30,179.1,0,-339.0,74.1,0,0,0
29,female,1,unskilled_resident,rent,little,little,1659,24,radio/TV,1,under_30,69.1,0,-829.0,57.2,0,0,0
29,female,2,skilled,own,rich,little,3357,21,radio/TV,0,under_30,159.9,0,869.0,115.8,0,0,0
30,female,3,highly_skilled,own,NA,little,7174,42,radio/TV,1,30_39,170.8,0,4686.0,239.1,1,1,0
30,male,3,highly_skilled,own,little,little,1823,24,radio/TV,1,30_39,76.0,0,-665.0,60.8,0,0,0
31,female,2,skilled,own,little,little,1957,6,radio/TV,0,30_39,326.2,0,-531.0,63.1,0,0,0
31,male,2,skilled,rent,little,little,2302,36,radio/TV,1,30_39,63.9,0,-186.0,74.3,1,0,0
31,female,2,skilled,own,little,little,6758,48,radio/TV,1,30_39,140.8,0,4270.0,218.0,1,1,0
32,female,1,unskilled_resident,own,moderate,little,1282,24,radio/TV,1,30_39,53.4,0,-1206.0,40.1,0,0,0
32,male,2,skilled,own,little,little,1938,24,radio/TV,1,30_39,80.8,0,-550.0,60.6,0,0,0
32,male,3,highly_skilled,own,little,little,1880,18,radio/TV,0,30_39,104.4,0,-608.0,58.8,0,0,0
33,male,1,unskilled_resident,own,moderate,little,727,12,radio/TV,1,30_39,60.6,0,-1761.0,22.0,0,0,0
34,male,2,skilled,own,little,little,3965,42,radio/TV,1,30_39,94.4,0,1477.0,116.6,1,0,0
34,male,2,skilled,own,little,little,6999,48,radio/TV,1,30_39,145.8,0,4511.0,205.9,1,1,0
35,male,2,skilled,own,quite rich,little,1680,12,radio/TV,0,30_39,140.0,0,-808.0,48.0,0,0,0
35,female,2,skilled,own,little,little,2439,24,radio/TV,1,30_39,101.6,0,-49.0,69.7,0,0,0
36,male,3,highly_skilled,free,little,little,1940,18,radio/TV,0,30_39,107.8,0,-548.0,53.9,0,0,0
39,male,2,skilled,own,little,little,2522,30,radio/TV,0,30_39,84.1,0,34.0,64.7,1,0,0
40,male,1,unskilled_resident,own,little,little,701,12,radio/TV,0,40_49,58.4,0,-1787.0,17.5,0,0,0
44,male,2,skilled,rent,quite rich,little,2647,6,radio/TV,0,40_49,441.2,0,159.0,60.2,0,0,0
48,male,2,skilled,own,little,little,1024,24,radio/TV,1,40_49,42.7,0,-1464.0,21.3,0,0,0
52,male,1,unskilled_resident,own,little,little,2315,10,radio/TV,0,50_plus,231.5,0,-173.0,44.5,0,0,0
52,male,2,skilled,own,quite rich,little,338,6,radio/TV,0,50_plus,56.3,0,-2150.0,6.5,0,0,0
55,female,2,skilled,own,little,little,1603,24,radio/TV,0,50_plus,66.8,0,-885.0,29.1,0,0,0
57,male,1,unskilled_resident,own,little,little,709,12,radio/TV,1,50_plus,59.1,0,-1779.0,12.4,0,0,0
57,female,3,highly_skilled,rent,rich,little,1231,24,radio/TV,0,50_plus,51.3,0,-1257.0,21.6,0,0,0
58,female,1,unskilled_resident,own,little,little,385,12,radio/TV,0,50_plus,32.1,0,-2103.0,6.6,0,0,0
59,male,2,skilled,own,little,little,1364,9,radio/TV,0,50_plus,151.6,0,-1124.0,23.1,0,0,0
64,male,1,unskilled_resident,rent,little,little,2384,24,radio/TV,0,50_plus,99.3,0,-104.0,37.3,0,0,0
65,male,2,skilled,free,little,little,2600,18,radio/TV,1,50_plus,144.4,0,112.0,40.0,0,0,0
67,male,2,skilled,own,NA,little,1169,6,radio/TV,0,50_plus,194.8,0,-1319.0,17.4,0,0,0
20,female,2,skilled,own,little,moderate,1967,24,radio/TV,0,under_30,82.0,0,-521.0,98.3,0,0,0
20,male,2,skilled,rent,little,moderate,585,12,radio/TV,0,under_30,48.8,0,-1903.0,29.3,0,0,0
21,male,2,skilled,rent,moderate,moderate,3031,45,radio/TV,1,under_30,67.4,0,543.0,144.3,1,0,0
22,female,2,skilled,own,little,moderate,5951,48,radio/TV,1,under_30,124.0,0,3463.0,270.5,1,1,0
22,female,2,skilled,own,little,moderate,1567,12,radio/TV,0,under_30,130.6,0,-921.0,71.2,0,0,0
22,male,2,skilled,own,little,moderate,2039,24,radio/TV,1,under_30,85.0,0,-449.0,92.7,0,0,0
22,male,2,skilled,rent,moderate,moderate,3092,24,radio/TV,1,under_30,128.8,0,604.0,140.5,0,0,0
22,male,2,skilled,own,little,moderate,1331,12,radio/TV,1,under_30,110.9,0,-1157.0,60.5,0,0,0
22,female,2,skilled,own,little,moderate,1670,9,radio/TV,1,under_30,185.6,0,-818.0,75.9,0,0,0
23,female,1,unskilled_resident,own,little,moderate,2101,13,radio/TV,0,under_30,161.6,0,-387.0,91.3,0,0,0
23,male,2,skilled,own,little,moderate,882,13,radio/TV,0,under_30,67.8,0,-1606.0,38.3,0,0,0
23,female,0,unskilled_non_resident,rent,quite rich,moderate,3758,24,radio/TV,0,under_30,156.6,0,1270.0,163.4,0,0,0
23,female,1,unskilled_resident,own,little,moderate,3573,12,radio/TV,0,under_30,297.8,0,1085.0,155.3,0,0,0
23,male,2,skilled,rent,little,moderate,1534,12,radio/TV,1,under_30,127.8,0,-954.0,66.7,0,0,0
23,female,2,skilled,rent,moderate,moderate,1553,24,radio/TV,0,under_30,64.7,0,-935.0,67.5,0,0,0
23,male,2,skilled,own,NA,moderate,1444,15,radio/TV,0,under_30,96.3,0,-1044.0,62.8,0,0,0
23,male,1,unskilled_resident,own,little,moderate,1048,10,radio/TV,0,under_30,104.8,0,-1440.0,45.6,0,0,0
23,male,1,unskilled_resident,own,quite rich,moderate,2520,27,radio/TV,1,under_30,93.3,0,32.0,109.6,1,0,0
24,male,2,skilled,own,little,moderate,458,9,radio/TV,0,under_30,50.9,0,-2030.0,19.1,0,0,0
24,male,2,skilled,rent,little,moderate,2323,36,radio/TV,0,under_30,64.5,0,-165.0,96.8,1,0,0
24,male,2,skilled,own,moderate,moderate,5595,72,radio/TV,1,under_30,77.7,0,3107.0,233.1,1,1,0
25,male,1,unskilled_resident,own,little,moderate,4746,45,radio/TV,1,under_30,105.5,0,2258.0,189.8,1,1,0
25,male,1,unskilled_resident,own,little,moderate,866,18,radio/TV,0,under_30,48.1,0,-1622.0,34.6,0,0,0
25,male,2,skilled,rent,quite rich,moderate,3213,18,radio/TV,0,under_30,178.5,0,725.0,128.5,0,0,0
25,male,2,skilled,own,NA,moderate,1484,12,radio/TV,1,under_30,123.7,0,-1004.0,59.4,0,0,0
25,female,2,skilled,own,little,moderate,1206,9,radio/TV,0,under_30,134.0,0,-1282.0,48.2,0,0,0
25,male,2,skilled,own,little,moderate,4933,39,radio/TV,1,under_30,126.5,0,2445.0,197.3,1,1,0
25,female,2,skilled,own,NA,moderate,2991,30,radio/TV,0,under_30,99.7,0,503.0,119.6,1,0,0
26,male,2,skilled,own,quite rich,moderate,1158,12,radio/TV,0,under_30,96.5,0,-1330.0,44.5,0,0,0
26,male,1,unskilled_resident,own,little,moderate,625,12,radio/TV,0,under_30,52.1,0,-1863.0,24.0,0,0,0
26,female,1,unskilled_resident,own,little,moderate,1113,18,radio/TV,0,under_30,61.8,0,-1375.0,42.8,0,0,0
26,male,1,unskilled_resident,own,little,moderate,590,6,radio/TV,0,under_30,98.3,0,-1898.0,22.7,0,0,0
26,female,2,skilled,own,NA,moderate,1715,30,radio/TV,0,under_30,57.2,0,-773.0,66.0,1,0,0
27,male,2,skilled,own,rich,moderate,10961,48,radio/TV,1,under_30,228.4,0,8473.0,406.0,1,1,0
27,male,1,unskilled_resident,own,NA,moderate,7418,60,radio/TV,0,under_30,123.6,0,4930.0,274.7,1,1,0
27,male,1,unskilled_resident,own,little,moderate,1082,9,radio/TV,0,under_30,120.2,0,-1406.0,40.1,0,0,0
27,female,2,skilled,own,little,moderate,2930,12,radio/TV,0,under_30,244.2,0,442.0,108.5,0,0,0
27,male,3,highly_skilled,free,NA,moderate,9157,60,radio/TV,0,under_30,152.6,0,6669.0,339.1,1,1,0
28,male,2,skilled,own,little,moderate,3060,48,radio/TV,1,under_30,63.8,0,572.0,109.3,1,0,0
28,male,2,skilled,own,little,moderate,1068,6,radio/TV,0,under_30,178.0,0,-1420.0,38.1,0,0,0
28,male,1,unskilled_resident,own,little,moderate,484,6,radio/TV,0,under_30,80.7,0,-2004.0,17.3,0,0,0
29,male,2,skilled,own,moderate,moderate,2896,24,radio/TV,0,under_30,120.7,0,408.0,99.9,0,0,0
29,male,2,skilled,own,little,moderate,1103,12,radio/TV,0,under_30,91.9,0,-1385.0,38.0,0,0,0
30,female,3,highly_skilled,own,little,moderate,4795,36,radio/TV,0,30_39,133.2,0,2307.0,159.8,1,1,0
30,male,3,highly_skilled,own,moderate,moderate,1919,30,radio/TV,1,30_39,64.0,0,-569.0,64.0,1,0,0
30,male,3,highly_skilled,rent,little,moderate,2063,6,radio/TV,0,30_39,343.8,0,-425.0,68.8,0,0,0
32,male,1,unskilled_resident,own,little,moderate,1301,18,radio/TV,0,30_39,72.3,0,-1187.0,40.7,0,0,0
33,male,2,skilled,own,little,moderate,1414,8,radio/TV,0,30_39,176.8,0,-1074.0,42.8,0,0,0
33,male,2,skilled,own,little,moderate,1245,18,radio/TV,1,30_39,69.2,0,-1243.0,37.7,0,0,0
33,male,2,skilled,own,little,moderate,6403,24,radio/TV,0,30_39,266.8,0,3915.0,194.0,0,1,0
34,male,2,skilled,own,little,moderate,2415,7,radio/TV,0,30_39,345.0,0,-73.0,71.0,0,0,0
35,male,2,skilled,own,NA,moderate,2728,15,radio/TV,0,30_39,181.9,0,240.0,77.9,0,0,0
35,male,2,skilled,own,little,moderate,2576,7,radio/TV,0,30_39,368.0,0,88.0,73.6,0,0,0
36,male,2,skilled,own,little,moderate,2337,36,radio/TV,0,30_39,64.9,0,-151.0,64.9,1,0,0
37,male,2,skilled,own,little,moderate,802,15,radio/TV,1,30_39,53.5,0,-1686.0,21.7,0,0,0
37,male,1,unskilled_resident,own,little,moderate,2118,9,radio/TV,0,30_39,235.3,0,-370.0,57.2,0,0,0
37,male,1,unskilled_resident,own,little,moderate,1154,9,radio/TV,0,30_39,128.2,0,-1334.0,31.2,0,0,0
38,male,2,skilled,own,NA,moderate,368,6,radio/TV,0,30_39,61.3,0,-2120.0,9.7,0,0,0
38,male,2,skilled,own,moderate,moderate,1216,24,radio/TV,1,30_39,50.7,0,-1272.0,32.0,0,0,0
40,male,1,unskilled_resident,own,little,moderate,1155,12,radio/TV,0,40_49,96.3,0,-1333.0,28.9,0,0,0
